Variação acumulada no ano durante o Plano Real;
  ;Brasil
dez/95;22.41
dez/96;9.56
dez/97;5.22
dez/98;1.65
dez/99;8.94
dez/00;5.97
dez/01;7.67
dez/02;12.53
dez/03;9.3
dez/04;7.6
dez/05;5.69
dez/06;3.14
dez/07;4.46
dez/08;5.9
dez/09;4.31
dez/10;5.91
dez/11;6.5
dez/12;5.84
dez/13;5.91
dez/14;6.41
dez/15;10.67
dez/16;6.29
dez/17;2.95
dez/18;3.75
dez/19;4.31
dez/20;4.52
dez/21;10.06
dez/22;5.79
dez/23;4.62
dez/24;4.83
dez/25;4.26
;
"Fonte: ""IBGE - Índice Nacional de Preços ao Consumidor Amplo""";
